A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      633 1 0 LHZA Zalaegerszeg-Andrashida
100   31.09   3   0 0.00 0 0 1 17   46.89071622  016.78746101   10.06    0.00 1  0 0 0 35   46.87817194  016.79048795    0.00    0.00 1  0 0 0
110   3 0.00 170.00 Taxiway
111  46.88291043  016.78632042 
111  46.88324831  016.78857011 
111  46.87802098  016.78976790 
111  46.87825064  016.79109224 
111  46.89085013  016.78803700 
111  46.89069273  016.78678241 
111  46.88510861  016.78807538 
113  46.88473649  016.78593430 
14   46.88469309  016.78664943   82 0 Tower
15   46.88457942  016.78795897 260.53 GA Ramp 1
15   46.88356128  016.78812340 262.76 GA Ramp 2
15   46.88410170  016.78801950 262.19 GA Ramp 3
19   46.89040478  016.78815333 0 WS1
19   46.87847149  016.79109020 0 WS2
54 13570 Tower


130 Airport Boundary
111  046.87802124  016.78976822
111  046.88291168  016.78631973
111  046.88473511  016.78593445
111  046.89069366  016.78678322
111  046.89085007  016.78803635
113  046.87825012  016.79109192
99
